epoch,train_loss,pretrain_loss,finetune_loss,pseudo_label_count,pseudo_label_accept_rate,mean_pseudo_confidence,consistency_loss,encoder_stage,stn_status,stn_regularization_loss,val_loss,val_seq_acc,val_char_acc,val_edit_distance,val_clean_accuracy,val_robustness_drop,val_restoration_gain,val_position_1_acc,val_position_2_acc,val_position_3_acc,val_position_4_acc,val_position_5_acc,test_loss,test_seq_acc,test_char_acc,test_edit_distance,test_clean_accuracy,test_robustness_drop,test_restoration_gain,test_position_1_acc,test_position_2_acc,test_position_3_acc,test_position_4_acc,test_position_5_acc
1,7.967686717721874,,7.967686717721874,0,0.0,0.0,0.0,supervised,disabled,0.0,1.4424554662501559,0.6458,0.9108533333333333,0.4454,0.6458,,,0.9012,0.8989333333333334,0.896,0.9174666666666667,0.9406666666666667,1.454974683294905,0.6391333333333333,0.90888,0.45526666666666665,0.6391333333333333,,,0.9003333333333333,0.8969333333333334,0.8901333333333333,0.9163333333333333,0.9406666666666667
2,0.9175897690007955,,0.9175897690007955,0,0.0,0.0,0.0,supervised,disabled,0.0,0.62591775376746,0.8272666666666667,0.9611866666666666,0.19386666666666666,0.8272666666666667,,,0.9664,0.9576666666666667,0.9579333333333333,0.9618666666666666,0.9620666666666666,0.6232019419365741,0.8268666666666666,0.9611733333333333,0.194,0.8268666666666666,,,0.9666666666666667,0.9554,0.9576,0.9654666666666667,0.9607333333333333
3,0.5482735553119263,,0.5482735553119263,0,0.0,0.0,0.0,supervised,disabled,0.0,0.6677957622928822,0.8232666666666667,0.95912,0.20373333333333332,0.8232666666666667,,,0.9752666666666666,0.9559333333333333,0.9382666666666667,0.9542666666666667,0.9718666666666667,0.6514896225421987,0.8282,0.9598133333333333,0.20053333333333334,0.8282,,,0.9751333333333333,0.9526,0.942,0.9569333333333333,0.9724
4,0.4342153546237448,,0.4342153546237448,0,0.0,0.0,0.0,supervised,disabled,0.0,1.5494877713791868,0.7312,0.9242133333333333,0.36566666666666664,0.7312,,,0.9282666666666667,0.8841333333333333,0.9059333333333334,0.942,0.9607333333333333,1.512119025626081,0.7319333333333333,0.9255066666666667,0.3612,0.7319333333333333,,,0.935,0.8844666666666666,0.9098666666666667,0.9444,0.9538
5,0.3667001552471293,,0.3667001552471293,0,0.0,0.0,0.0,supervised,disabled,0.0,0.5188045690034299,0.8573333333333333,0.96828,0.1586,0.8573333333333333,,,0.9771333333333333,0.9604,0.9638666666666666,0.9660666666666666,0.9739333333333333,0.5112944349963614,0.8576666666666667,0.9687866666666667,0.15606666666666666,0.8576666666666667,,,0.9774666666666667,0.9598666666666666,0.9652,0.9688666666666667,0.9725333333333334
6,0.3368487457110116,,0.3368487457110116,0,0.0,0.0,0.0,supervised,disabled,0.0,0.3321288636231676,0.9088666666666667,0.9801733333333333,0.09913333333333334,0.9088666666666667,,,0.9847333333333333,0.9773333333333334,0.9779333333333333,0.9770666666666666,0.9838,0.3266762403414605,0.9088,0.9802266666666667,0.09866666666666667,0.9088,,,0.9856666666666667,0.9757333333333333,0.9770666666666666,0.9789333333333333,0.9837333333333333
7,0.2703576863551264,,0.2703576863551264,0,0.0,0.0,0.0,supervised,disabled,0.0,0.3818295379268362,0.8996,0.9779866666666667,0.11006666666666666,0.8996,,,0.9812666666666666,0.9721333333333333,0.9747333333333333,0.9791333333333333,0.9826666666666667,0.3630734351721216,0.901,0.9786133333333333,0.10693333333333334,0.901,,,0.9814,0.973,0.9758666666666667,0.9804,0.9824
8,0.26330602181681456,,0.26330602181681456,0,0.0,0.0,0.0,supervised,disabled,0.0,0.2762677380696256,0.9195333333333333,0.9829866666666667,0.08506666666666667,0.9195333333333333,,,0.9868,0.9793333333333333,0.9816666666666667,0.9797333333333333,0.9874,0.27813576957646835,0.9163333333333333,0.9825333333333334,0.08733333333333333,0.9163333333333333,,,0.9869333333333333,0.9790666666666666,0.98,0.9812,0.9854666666666667
9,0.24961695852190957,,0.24961695852190957,0,0.0,0.0,0.0,supervised,disabled,0.0,0.6494629334896169,0.8616,0.9672266666666667,0.1632,0.8616,,,0.9744,0.9663333333333334,0.965,0.9632666666666667,0.9671333333333333,0.6266567248613276,0.863,0.9676533333333334,0.16133333333333333,0.863,,,0.9748,0.9651333333333333,0.9669333333333333,0.9646666666666667,0.9667333333333333
10,0.21932514117879906,,0.21932514117879906,0,0.0,0.0,0.0,supervised,disabled,0.0,0.39908799094722625,0.8980666666666667,0.9782666666666666,0.10866666666666666,0.8980666666666667,,,0.9749333333333333,0.9788,0.9794,0.974,0.9842,0.38924563758550806,0.9010666666666667,0.97912,0.1044,0.9010666666666667,,,0.9764666666666667,0.9773333333333334,0.9804,0.9764,0.985
