epoch,train_loss,pretrain_loss,finetune_loss,pseudo_label_count,pseudo_label_accept_rate,mean_pseudo_confidence,consistency_loss,encoder_stage,stn_status,stn_regularization_loss,val_loss,val_seq_acc,val_char_acc,val_edit_distance,val_clean_accuracy,val_robustness_drop,val_restoration_gain,val_position_1_acc,val_position_2_acc,val_position_3_acc,val_position_4_acc,val_position_5_acc,test_loss,test_seq_acc,test_char_acc,test_edit_distance,test_clean_accuracy,test_robustness_drop,test_restoration_gain,test_position_1_acc,test_position_2_acc,test_position_3_acc,test_position_4_acc,test_position_5_acc
1,7.980603129527587,,7.980603129527587,0,0.0,0.0,0.0,semisupervised_warmup,frozen,0.0,1.5212922623816958,0.6422,0.9079466666666667,0.4584,0.6422,,,0.9412,0.8949333333333334,0.8795333333333333,0.8909333333333334,0.9331333333333334,1.5137540401296412,0.6414666666666666,0.9080266666666666,0.4576,0.6414666666666666,,,0.9441333333333334,0.8964666666666666,0.8748666666666667,0.8933333333333333,0.9313333333333333
2,0.9201720403628935,,0.9201720403628935,0,0.0,0.0,0.0,semisupervised_warmup,frozen,0.0,2.349401828075977,0.5575333333333333,0.871,0.6364666666666666,0.5575333333333333,,,0.8852666666666666,0.8414,0.8595333333333334,0.8869333333333334,0.8818666666666667,2.366923633027584,0.5515333333333333,0.86976,0.6420666666666667,0.5515333333333333,,,0.8845333333333333,0.8406666666666667,0.857,0.8883333333333333,0.8782666666666666
3,0.5646853915393819,,0.5646853915393819,0,0.0,0.0,0.0,semisupervised_warmup,frozen,0.0,4.026938131007743,0.4594666666666667,0.8188266666666667,0.8946,0.4594666666666667,,,0.8808,0.8342666666666667,0.799,0.7882666666666667,0.7918,4.121119387606357,0.4517333333333333,0.8163333333333334,0.9056,0.4517333333333333,,,0.884,0.8196666666666667,0.7954666666666667,0.7887333333333333,0.7938
4,0.4200378208768897,,0.4200378208768897,0,0.0,0.0,0.0,semisupervised_warmup,frozen,0.0,0.3154961385625474,0.903,0.9793333333333333,0.10333333333333333,0.903,,,0.9808666666666667,0.9764,0.978,0.9772,0.9842,0.31993962072945653,0.8988,0.9784666666666667,0.1076,0.8988,,,0.9834666666666667,0.9722666666666666,0.9756,0.9768666666666667,0.9841333333333333
5,0.3777258800386449,,0.3777258800386449,0,0.0,0.0,0.0,semisupervised_warmup,frozen,0.0,0.4266859969877182,0.8747333333333334,0.97272,0.13633333333333333,0.8747333333333334,,,0.9796666666666667,0.9654,0.9697333333333333,0.9727333333333333,0.9760666666666666,0.43242742641175047,0.8752,0.9728,0.13593333333333332,0.8752,,,0.9837333333333333,0.9587333333333333,0.9710666666666666,0.9756666666666667,0.9748
6,0.3287276785733183,,0.3287276785733183,0,0.0,0.0,0.0,semisupervised_warmup,frozen,0.0,0.3564459727482593,0.8958,0.9778533333333334,0.11073333333333334,0.8958,,,0.9820666666666666,0.971,0.9694666666666667,0.9796,0.9871333333333333,0.3691609003917968,0.8934666666666666,0.9774133333333334,0.11293333333333333,0.8934666666666666,,,0.9830666666666666,0.9703333333333334,0.9678666666666667,0.9798666666666667,0.9859333333333333
7,0.28324567832967007,,0.28324567832967007,0,0.0,0.0,0.0,semisupervised_warmup,frozen,0.0,0.6118119365357338,0.8581333333333333,0.96656,0.16653333333333334,0.8581333333333333,,,0.973,0.9624,0.9606,0.9627333333333333,0.9740666666666666,0.6178061513824665,0.8604,0.9671866666666666,0.16346666666666668,0.8604,,,0.9729333333333333,0.9637333333333333,0.9628666666666666,0.9640666666666666,0.9723333333333334
8,0.2686483623221633,,0.2686483623221633,0,0.0,0.0,0.0,semisupervised_warmup,frozen,0.0,9.765120903989102,0.2978,0.7249066666666667,1.3242,0.2978,,,0.6968666666666666,0.7282666666666666,0.7735333333333333,0.7543333333333333,0.6715333333333333,9.693419953610034,0.3038666666666667,0.7254533333333333,1.3243333333333334,0.3038666666666667,,,0.7091333333333333,0.7315333333333334,0.7685333333333333,0.7553333333333333,0.6627333333333333
9,0.2411418965538628,,0.2411418965538628,0,0.0,0.0,0.0,semisupervised_warmup,frozen,0.0,0.28627121572164776,0.9244,0.9838933333333333,0.08033333333333334,0.9244,,,0.9872666666666666,0.9793333333333333,0.9802,0.9826666666666667,0.99,0.29375780543431323,0.9186,0.9828,0.08593333333333333,0.9186,,,0.9860666666666666,0.9780666666666666,0.9801333333333333,0.9815333333333334,0.9882
10,0.2244589719337754,,0.2244589719337754,0,0.0,0.0,0.0,semisupervised_warmup,frozen,0.0,2.0771724736436883,0.7374666666666667,0.9238666666666666,0.3671333333333333,0.7374666666666667,,,0.9294666666666667,0.9223333333333333,0.9234666666666667,0.9212,0.9228666666666666,2.0730259905470176,0.7366666666666667,0.92296,0.37206666666666666,0.7366666666666667,,,0.9292666666666667,0.9188,0.925,0.9238,0.9179333333333334
