epoch,lr,model_id,pair,saved_at,test_char_acc,test_edit_distance,test_loss,test_mse,test_psnr,test_seq_acc,test_ssim,train_loss,train_mse,train_psnr,train_ssim,training_mode,val_char_acc,val_edit_distance,val_loss,val_mse,val_psnr,val_seq_acc,val_ssim
1,0.001,M2,corrupted_to_normal,2026-05-22 02:39:30,,,0.08321444514195124,0.02975171601176262,15.387725051879883,,0.4653727168083191,0.0016680003042199782,0.029626783665163175,15.404405201939174,0.46876960983276367,unsupervised,,,0.08321057029565175,0.0297525025387605,15.386929751586914,,0.46541932910283407
2,0.001,M2,corrupted_to_normal,2026-05-22 04:23:55,,,0.08195474701722463,0.02950430383880933,15.425013751220703,,0.47549557409286497,0.0016319813312430467,0.02960294618521418,15.407354627554756,0.47045582340785436,unsupervised,,,0.08195334989229838,0.029504098825653396,15.424364060465495,,0.4755074973106384
3,0.001,M2,corrupted_to_normal,2026-05-22 06:09:34,,,0.08263085815111797,0.02958999719619751,15.412101666259765,,0.46959140162467955,0.0015890154622495174,0.029607206528527396,15.406799676513671,0.468952045917511,unsupervised,,,0.08263075913588205,0.02959050884048144,15.411344379170735,,0.4695975047588348
4,0.001,M2,corrupted_to_normal,2026-05-22 07:46:01,,,0.08315326714118322,0.02983159519235293,15.37674082845052,,0.4667832870483398,0.0015673359188384244,0.02962238487771579,15.40475358581543,0.46775366396222795,unsupervised,,,0.08314618768692017,0.029832015296816825,15.375989351908366,,0.46685828336079915
5,0.001,M2,corrupted_to_normal,2026-05-22 09:27:11,,,0.0830385468085607,0.029739031558235485,15.390230131022136,,0.46700485785802204,0.0015592315136321953,0.0296235636983599,15.40454625919887,0.4673863893236433,unsupervised,,,0.0830313346306483,0.02973936040401459,15.389487664794922,,0.467080263932546
6,0.001,M2,corrupted_to_normal,2026-05-22 11:03:07,,,0.0829877268354098,0.029703708978494007,15.395387612406413,,0.46715983114242554,0.0015590778998764497,0.029620786021436963,15.404878863089426,0.46738588718686785,unsupervised,,,0.08298050487836202,0.02970398395260175,15.394651036580404,,0.46723479623794556
7,0.001,M2,corrupted_to_normal,2026-05-22 12:45:00,,,0.08208307840426762,0.029459999976555507,15.434784269205728,,0.4737692228635152,0.0015447127650358846,0.029551152893475124,15.416053838239398,0.46905251542500087,unsupervised,,,0.08207627565463384,0.0294604019622008,15.434008348592123,,0.47384127090771994
8,0.001,M2,corrupted_to_normal,2026-05-22 14:20:02,,,0.08208131279945373,0.02938473439315955,15.445391730753581,,0.4730342237790426,0.0015010671367070504,0.029349938755801747,15.447697362845284,0.473352890763964,unsupervised,,,0.08207464591662089,0.0293852478514115,15.444603300476075,,0.4731060257275899
9,0.001,M2,corrupted_to_normal,2026-05-22 15:54:07,,,0.08212942230701446,0.029405997694532077,15.44223890024821,,0.47276576283772787,0.0014983714195500528,0.029348132309317588,15.448019587489537,0.4735162357875279,unsupervised,,,0.08212293166319529,0.029406566044688224,15.441439040120443,,0.4728363509178162
10,0.001,M2,corrupted_to_normal,2026-05-22 17:32:19,,,0.08101715667247772,0.029053303385774294,15.497759514363606,,0.48036147184371947,0.0014611735283530185,0.029115597644022533,15.484724011012487,0.4788353618553707,unsupervised,,,0.08101117126544316,0.029053643005092937,15.496981055704753,,0.4804247256596883
11,0.001,M2,corrupted_to_normal,2026-05-22 19:25:09,,,0.07976538053750992,0.028644289912780126,15.56203839823405,,0.4887890997568766,0.0014024623938170926,0.028786273891585213,15.537195147923061,0.48657529592514037,unsupervised,,,0.07975998407204946,0.028644927327831585,15.56120745900472,,0.48884944038391115
12,0.001,M2,corrupted_to_normal,2026-05-22 21:57:36,,,0.0799957731962204,0.02878638277252515,15.540712749226888,,0.48790610307057697,0.0013775417595303485,0.028663397452660968,15.556797903878348,0.4895445109639849,unsupervised,,,0.07999089875221252,0.028786962785323462,15.539895529174805,,0.4879606463432312
13,0.001,M2,corrupted_to_normal,2026-05-22 23:31:42,,,0.07988300723632177,0.02875036831498146,15.54647703552246,,0.48867362009684245,0.0013762235092797449,0.028660836048637117,15.557265787615094,0.4896320076056889,unsupervised,,,0.07987785181999206,0.02875086161792278,15.545667585245768,,0.4887301047960917
14,0.001,M2,corrupted_to_normal,2026-05-23 01:06:25,,,0.07955914318958918,0.02863264792859554,15.564609458414713,,0.490735052951177,0.0013749328470389758,0.02865106289259025,15.558827487618583,0.48971906584330965,unsupervised,,,0.07955388445059458,0.028632946509122847,15.56382875213623,,0.49079062889417013
15,0.001,M2,corrupted_to_normal,2026-05-23 02:44:07,,,0.07985574704408646,0.02876701203684012,15.544100629170735,,0.4891126561641693,0.0013742617519306285,0.02864462398333209,15.559813419015066,0.4897899491105761,unsupervised,,,0.07985078110694885,0.028767464849352838,15.543301316833496,,0.4891668426036835
16,0.001,M2,corrupted_to_normal,2026-05-23 04:27:54,,,0.07977509684960048,0.028670909368991852,15.55840413462321,,0.4889581350962321,0.001373532544209489,0.028637420045478004,15.560949672589983,0.4898822664873941,unsupervised,,,0.07977050046126048,0.028671553782622018,15.557582730102538,,0.48901054023106894
17,0.001,M2,corrupted_to_normal,2026-05-23 06:13:06,,,0.0795453292965889,0.028621613111098607,15.566329063924154,,0.4907628472010295,0.0013731657895658697,0.028631426548957825,15.561885178702218,0.4899577138015202,unsupervised,,,0.07954052542845408,0.02862215053041776,15.565517649332682,,0.4908162590185801
18,0.001,M2,corrupted_to_normal,2026-05-23 07:46:45,,,0.07965513230959574,0.02866067331234614,15.560393705749512,,0.4900554189682007,0.0013727270246616432,0.02862633018067905,15.562691741507393,0.49004622056143626,unsupervised,,,0.07964977649450303,0.028660999113321303,15.559611760457356,,0.4901122352282206
19,0.001,M2,corrupted_to_normal,2026-05-23 09:25:53,,,0.07967576129436493,0.02869767116308212,15.55469538421631,,0.4902191087245941,0.001372400791171406,0.028620661609513418,15.563549813188825,0.490121085017068,unsupervised,,,0.07967068381706874,0.028698137415448823,15.553904543558756,,0.49027454257011416
20,0.001,M2,corrupted_to_normal,2026-05-23 11:10:45,,,0.07967345472574235,0.028669841211040815,15.5590142384847,,0.4899638733069102,0.0013722080588606852,0.028615777380125863,15.564309854561943,0.4901736439023699,unsupervised,,,0.07966828490893046,0.028670285961031914,15.558221143086751,,0.49002002113660176
