epoch,learning_rate,train_loss,train_ctc_loss,train_consistency_loss,val_loss,test_loss,val_seq_acc,val_char_acc,val_edit_distance,test_seq_acc,test_char_acc,test_edit_distance,position_1_acc,position_2_acc,position_3_acc,position_4_acc,position_5_acc,consistency_weight,saved_at
1,0.001,0.48872370520626596,0.48870635786021926,0.0001734699974695104,0.04740875798898438,0.0474451863549805,0.9120666666666667,0.9772266666666667,0.092,0.9123333333333333,0.9778666666666667,0.09073333333333333,0.9863333333333333,0.9796,0.9748666666666667,0.9724,0.9729333333333333,0.1,2026-05-27T18:06:17.891064
2,0.001,0.10825016877914646,0.10822989802860788,0.00020270712791160416,0.03796117859635657,0.039659430779501174,0.9343333333333333,0.98128,0.06813333333333334,0.9329333333333333,0.9801866666666667,0.0694,0.9878666666666667,0.9849333333333333,0.9822,0.9767333333333333,0.9746666666666667,0.1,2026-05-27T18:15:08.990737
3,0.001,0.08763297433922,0.08761296132214234,0.00020012948060009095,0.03728890229674289,0.03673008409845643,0.9367333333333333,0.9827333333333333,0.06533333333333333,0.9390666666666667,0.9834933333333333,0.0628,0.9888666666666667,0.9837333333333333,0.9817333333333333,0.9788666666666667,0.9804666666666667,0.1,2026-05-27T18:23:54.968347
4,0.001,0.07858381140675795,0.07856440052347856,0.00019410878197522835,0.028699451703182423,0.028341367525774208,0.9503333333333334,0.9873866666666666,0.0504,0.9511333333333334,0.9871066666666667,0.05026666666666667,0.9921333333333333,0.9886666666666667,0.9861333333333333,0.9853333333333333,0.9846666666666667,0.1,2026-05-27T18:32:39.780135
5,0.001,0.0725838106978352,0.0725674897072105,0.0001632093086921876,0.02829066266233567,0.02819249609944333,0.9501333333333334,0.9870666666666666,0.05106666666666667,0.9487333333333333,0.9872,0.05246666666666667,0.9922,0.9892666666666666,0.9858666666666667,0.9844,0.9836,0.1,2026-05-27T18:41:21.263564
6,0.001,0.0682267753539873,0.06821162426129117,0.00015151072172364885,0.02699411807502814,0.025368084547647354,0.9543333333333334,0.9882133333333334,0.04646666666666667,0.9544666666666667,0.9888266666666666,0.046266666666666664,0.9934,0.99,0.9868,0.9856666666666667,0.9852,0.1,2026-05-27T18:50:03.728171
7,0.001,0.06352947884458617,0.06351352164068459,0.0001595719832773154,0.024630122127593496,0.02371371175419384,0.9542,0.9890266666666667,0.0466,0.9540666666666666,0.98876,0.047066666666666666,0.9920666666666667,0.9900666666666667,0.9884,0.9876,0.987,0.1,2026-05-27T18:58:45.970872
8,0.001,0.060481079969210885,0.06046756872700228,0.00013511233302623233,0.024922723265935202,0.024306908549442112,0.9548666666666666,0.9892666666666666,0.0464,0.9528,0.98888,0.04833333333333333,0.9928,0.9904666666666667,0.987,0.9888666666666667,0.9872,0.1,2026-05-27T19:07:25.767163
9,0.001,0.05814747569369585,0.058133975089035395,0.00013500597684261656,0.023991507867219236,0.02307120891501351,0.9571333333333333,0.9896533333333334,0.04393333333333333,0.9570666666666666,0.9897466666666667,0.04393333333333333,0.9928666666666667,0.9900666666666667,0.9891333333333333,0.9884,0.9878,0.1,2026-05-27T19:16:07.383801
10,0.001,0.05762576184585757,0.057613054433536516,0.00012707395184302837,0.021890269934288033,0.020786546792029792,0.9608666666666666,0.9906266666666667,0.039933333333333335,0.9610666666666666,0.9910133333333333,0.03933333333333333,0.9933333333333333,0.9916666666666667,0.9898,0.9891333333333333,0.9892,0.1,2026-05-27T19:24:49.960804
11,0.001,0.05480382429955228,0.054791549431414545,0.00012274852071506238,0.021337004905589856,0.020583854124869686,0.9619333333333333,0.99092,0.03846666666666667,0.9645333333333334,0.9915733333333333,0.03613333333333334,0.9934,0.992,0.9912666666666666,0.9885333333333334,0.9894,0.1,2026-05-27T19:33:33.398846
12,0.001,0.05399247587399358,0.053979406598155456,0.00013069267697490952,0.023745042216882575,0.021647753372281052,0.9622,0.99028,0.0388,0.9625333333333334,0.9906266666666667,0.03833333333333333,0.9933333333333333,0.9913333333333333,0.9888666666666667,0.9885333333333334,0.9893333333333333,0.1,2026-05-27T19:42:13.737975
13,0.001,0.05314419559393843,0.05313070781089316,0.00013487778652093507,0.019559952218965435,0.019079986893575793,0.9674,0.9921066666666667,0.0332,0.9668666666666667,0.9917333333333334,0.033666666666666664,0.9947333333333334,0.9916,0.9916666666666667,0.9912,0.9913333333333333,0.1,2026-05-27T19:50:56.646480
14,0.001,0.052141204337672595,0.05212612835460209,0.00015076008203614039,0.021170076253209845,0.02086259929309793,0.9604,0.9908133333333333,0.0406,0.9602666666666667,0.9906666666666667,0.04033333333333333,0.9936,0.9912666666666666,0.9895333333333334,0.9904,0.9892666666666666,0.1,2026-05-27T19:59:39.917014
15,0.001,0.05015854621189314,0.05014642800682258,0.00012118190441979095,0.019098465349556257,0.018338678613491356,0.9642666666666667,0.9913866666666666,0.03673333333333333,0.9673333333333334,0.99196,0.03353333333333333,0.9944,0.9921333333333333,0.9908,0.9889333333333333,0.9906666666666667,0.1,2026-05-27T20:08:20.764602
16,0.001,0.0497688504682172,0.049753551792078986,0.00015298674399091396,0.01918818691114793,0.018952215803809184,0.9674,0.9923733333333333,0.0332,0.9680666666666666,0.9925733333333333,0.032266666666666666,0.9941333333333333,0.9928,0.9923333333333333,0.9908,0.9918,0.1,2026-05-27T20:17:01.960692
17,0.001,0.04835760413063108,0.04834450441463019,0.0001309970579688005,0.019007426882057917,0.018507609188298618,0.9651333333333333,0.9915466666666667,0.035666666666666666,0.9673333333333334,0.9923733333333333,0.03333333333333333,0.9937333333333334,0.9924666666666667,0.9916666666666667,0.9899333333333333,0.9899333333333333,0.1,2026-05-27T20:25:46.471524
18,0.001,0.0480275825192021,0.04801488399209588,0.00012698530203820806,0.01864698196306587,0.01749346910240832,0.9676666666666667,0.9924533333333333,0.032933333333333335,0.9698,0.99292,0.030666666666666665,0.9952,0.9932,0.9919333333333333,0.9911333333333333,0.9908,0.1,2026-05-27T20:34:29.253942
19,0.001,0.04744323373748339,0.0474300233939596,0.0001321036935642561,0.0219322620514237,0.022168183086288627,0.9648,0.99148,0.03573333333333333,0.9642666666666667,0.9909066666666667,0.0366,0.9951333333333333,0.9923333333333333,0.9908,0.9906666666666667,0.9884666666666667,0.1,2026-05-27T20:43:11.279215
20,0.001,0.04694846856567144,0.04693213322644588,0.00016335361041669135,0.01886660950977433,0.01808776510952642,0.9666666666666667,0.99208,0.03406666666666667,0.9662,0.9919066666666667,0.034466666666666666,0.9934,0.9928,0.991,0.9916,0.9916,0.1,2026-05-27T20:51:53.875583
21,0.001,0.04639049218192896,0.046372814002313786,0.00017678169680626263,0.017551897506244616,0.017724137102089543,0.9686,0.9925466666666667,0.03186666666666667,0.9697333333333333,0.99272,0.030666666666666665,0.9944,0.9931333333333333,0.9915333333333334,0.9917333333333334,0.9919333333333333,0.1,2026-05-27T21:00:36.962627
22,0.001,0.04584230380342924,0.045826569480927094,0.0001573428996451964,0.024178626626791568,0.023631218806792944,0.9547333333333333,0.98948,0.046066666666666665,0.9574666666666667,0.9898533333333334,0.043333333333333335,0.9915333333333334,0.9896,0.9897333333333334,0.9882,0.9883333333333333,0.1,2026-05-27T21:09:28.873100
23,0.001,0.04476910309046008,0.04475084733978147,0.00018255758017101992,0.01865056496885906,0.01726231311296918,0.9654,0.9916666666666667,0.03493333333333333,0.9680666666666666,0.99204,0.0326,0.9940666666666667,0.993,0.9912,0.99,0.9900666666666667,0.1,2026-05-27T21:18:16.289693
24,0.001,0.04476331368859475,0.0447437921318159,0.0001952156599153698,0.018848411159688355,0.017721008353075014,0.9678666666666667,0.9923466666666667,0.03253333333333333,0.9690666666666666,0.9924933333333333,0.031466666666666664,0.9954666666666667,0.993,0.9915333333333334,0.9906666666666667,0.9910666666666667,0.1,2026-05-27T21:27:04.538000
25,0.001,0.043772594034316714,0.04375528664433514,0.00017307409961566528,0.017960538434334497,0.018042577464971208,0.9664666666666667,0.9922533333333333,0.034,0.9676666666666667,0.9923733333333333,0.03286666666666667,0.995,0.9924666666666667,0.9910666666666667,0.9916666666666667,0.9910666666666667,0.1,2026-05-27T21:35:56.350852
26,0.001,0.04336534527493225,0.043346979292416446,0.00018365995376454,0.019366786755795087,0.01858356951750223,0.9690666666666666,0.9926533333333334,0.0314,0.9685333333333334,0.99216,0.03206666666666667,0.9952,0.9935333333333334,0.9926666666666667,0.9899333333333333,0.9919333333333333,0.1,2026-05-27T21:44:42.263243
27,0.001,0.042594138751950644,0.04257652425712607,0.00017614501840975468,0.01656326561342527,0.01601273593174871,0.9698666666666667,0.9927866666666667,0.030533333333333332,0.9718,0.9933733333333333,0.028733333333333333,0.9952,0.9933333333333333,0.9919333333333333,0.9916666666666667,0.9918,0.1,2026-05-27T21:53:52.920979
28,0.001,0.04359651674699562,0.04358072363245134,0.0001579311015566678,0.016668366727790755,0.01603926901061641,0.9714666666666667,0.99348,0.028933333333333332,0.9716,0.9934133333333334,0.029,0.996,0.9939333333333333,0.9924,0.9926,0.9924666666666667,0.1,2026-05-27T22:02:48.743532
29,0.001,0.04262639913902967,0.042611430227206024,0.00014968886504232483,0.01576887671088504,0.015300881686020876,0.9711333333333333,0.9934133333333334,0.0292,0.9723333333333334,0.9938533333333334,0.028,0.9946,0.9944666666666667,0.9925333333333334,0.9922666666666666,0.9932,0.1,2026-05-27T22:11:53.449635
30,0.001,0.043393457338455066,0.04337424566956969,0.00019211689770038773,0.017837545147309234,0.016488037683328002,0.9692666666666667,0.9925866666666666,0.031266666666666665,0.9721333333333333,0.9934,0.028266666666666666,0.9958666666666667,0.9931333333333333,0.9920666666666667,0.9906666666666667,0.9912,0.1,2026-05-27T22:21:06.390212
31,0.001,0.041039043601671335,0.041022614806938716,0.00016428802003335606,0.0151410518197481,0.014242278470694146,0.9732,0.9938666666666667,0.0272,0.9754,0.99432,0.02493333333333333,0.995,0.9944,0.9936666666666667,0.9929333333333333,0.9933333333333333,0.1,2026-05-27T22:29:54.304234
32,0.001,0.04240897178749936,0.04239232054090202,0.00016651200236727682,0.0208590828429699,0.019021345275956263,0.9636,0.9908533333333334,0.037066666666666664,0.9675333333333334,0.99208,0.0328,0.9948,0.9923333333333333,0.9902,0.9884666666666667,0.9884666666666667,0.1,2026-05-27T22:39:08.199235
33,0.001,0.04191920467369824,0.041900329414340166,0.00018875253800901452,0.016173690636671866,0.014805111626463379,0.9715333333333334,0.99308,0.029,0.9746666666666667,0.9939333333333333,0.025666666666666667,0.9957333333333334,0.9934666666666667,0.9927333333333334,0.9915333333333334,0.9919333333333333,0.1,2026-05-27T22:48:18.536358
34,0.001,0.04093708364655696,0.040917746335059305,0.00019337297381425743,0.016567904936806734,0.015733612384143635,0.973,0.9939866666666667,0.027466666666666667,0.9722666666666666,0.9935066666666666,0.028266666666666666,0.9957333333333334,0.9935333333333334,0.9936,0.9942666666666666,0.9928,0.1,2026-05-27T22:57:41.631006
35,0.001,0.040596288413724896,0.040577260920669815,0.00019027508193726785,0.01735232873313556,0.01671840600948878,0.9699333333333333,0.9928133333333333,0.030466666666666666,0.9720666666666666,0.99336,0.028266666666666666,0.9948666666666667,0.9936,0.9924,0.9917333333333334,0.9914666666666667,0.1,2026-05-27T23:07:03.785745
36,0.001,0.04061385111695605,0.04059568516769214,0.00018165946129218875,0.02011907085935648,0.0184451697462185,0.9646666666666667,0.9913733333333333,0.03593333333333333,0.9668,0.9920266666666666,0.03373333333333333,0.9945333333333334,0.9918666666666667,0.9914666666666667,0.9898666666666667,0.9891333333333333,0.1,2026-05-27T23:16:00.366764
37,0.001,0.040457657203998784,0.04043779163836568,0.000198655467457138,0.016699461993776397,0.015232427866125848,0.9716,0.9931466666666666,0.029,0.9734666666666667,0.9937733333333333,0.027066666666666666,0.9952666666666666,0.9938,0.9918666666666667,0.9928666666666667,0.9919333333333333,0.1,2026-05-27T23:25:08.845671
38,0.001,0.03911050285872438,0.03909232154423038,0.0001818130393433551,0.019153259727160428,0.017921586536959147,0.9655333333333334,0.9922266666666667,0.0348,0.9673333333333334,0.99264,0.03306666666666667,0.994,0.9926666666666667,0.993,0.9899333333333333,0.9915333333333334,0.1,2026-05-27T23:34:13.766192
39,0.001,0.04048651025133856,0.040466533455806454,0.00019976825126463414,0.016475127615626965,0.01574627423631197,0.9705333333333334,0.9930533333333333,0.029933333333333333,0.9711333333333333,0.9934266666666667,0.0292,0.9948,0.9932666666666666,0.992,0.9932666666666666,0.9919333333333333,0.1,2026-05-27T23:43:23.332722
40,0.001,0.03876048312123499,0.038741847980576234,0.00018635131164961163,0.017599870891057558,0.016229041932198984,0.9682,0.9926533333333334,0.032266666666666666,0.9710666666666666,0.9930533333333333,0.029266666666666667,0.9942666666666666,0.9925333333333334,0.993,0.9913333333333333,0.9921333333333333,0.1,2026-05-27T23:52:20.495424
