group,group_label,source_dataset,input_condition,denoiser_id,denoiser_training_mode,denoiser_target_dataset,recognition_model,recognition_model_folder,recognition_model_variant,recognition_train_mode,checkpoint,split,sample_count,loss,seq_acc,char_acc,edit_distance,position_1_acc,position_2_acc,position_3_acc,position_4_acc,position_5_acc,clean_accuracy,noise_accuracy,blur_accuracy,rotation_accuracy,interference_line_accuracy,restored_accuracy,robustness_drop,restoration_gain,restoration_mse,restoration_psnr,restoration_ssim
normal,normal->model,normal,normal,,,,train_010,train_010_stn_multihead_semisupervised_seed3027_ratio70_stn,stn_multihead,semisupervised,C:\Users\buckl\.spyder-py3\智慧學習\captchas\experiments\train_010_stn_multihead_semisupervised_seed3027_ratio70_stn\checkpoints\latest.pth,test,15000,0.2943111357863172,0.9622,0.99224,0.03866666666666667,0.9939333333333333,0.9907333333333334,0.9913333333333333,0.9920666666666667,0.9931333333333333,6.666666666666667e-05,,,,,,-0.9621333333333334,,,,
normal,normal->model,normal,normal,,,,train_011,train_011_stn_multihead_consistency_seed3027_ratio70_stn,stn_multihead,consistency,C:\Users\buckl\.spyder-py3\智慧學習\captchas\experiments\train_011_stn_multihead_consistency_seed3027_ratio70_stn\checkpoints\latest.pth,test,15000,0.2566876634008298,0.9531333333333334,0.9902933333333334,0.0484,0.9908,0.9885333333333334,0.9915333333333334,0.9901333333333333,0.9904666666666667,0.002,,,,,,-0.9511333333333334,,,,
normal,normal->model,normal,normal,,,,train_012,train_012_pure_resnet_multihead_supervised_seed3027_ratio70_nostn,pure_resnet_multihead,supervised,C:\Users\buckl\.spyder-py3\智慧學習\captchas\experiments\train_012_pure_resnet_multihead_supervised_seed3027_ratio70_nostn\checkpoints\latest.pth,test,15000,0.27635123454413174,0.9617333333333333,0.9921733333333334,0.039,0.9932666666666666,0.9902,0.9917333333333334,0.9924666666666667,0.9932,0.0006666666666666666,,,,,,-0.9610666666666666,,,,
normal,normal->model,normal,normal,,,,train_013,train_013_pure_resnet_multihead_contrastive_seed3027_ratio70_nostn,pure_resnet_multihead,contrastive,C:\Users\buckl\.spyder-py3\智慧學習\captchas\experiments\train_013_pure_resnet_multihead_contrastive_seed3027_ratio70_nostn\checkpoints\latest.pth,test,15000,0.2898225962461596,0.9618,0.9922,0.038933333333333334,0.9924666666666667,0.9910666666666667,0.9922,0.9921333333333333,0.9931333333333333,0.00013333333333333334,,,,,,-0.9616666666666667,,,,
normal,normal->model,normal,normal,,,,train_014,train_014_pure_resnet_multihead_semisupervised_seed3027_ratio70_nostn,pure_resnet_multihead,semisupervised,C:\Users\buckl\.spyder-py3\智慧學習\captchas\experiments\train_014_pure_resnet_multihead_semisupervised_seed3027_ratio70_nostn\checkpoints\latest.pth,test,15000,0.28577695507013584,0.9643333333333334,0.9926933333333333,0.0364,0.9938666666666667,0.9910666666666667,0.9924,0.9928,0.9933333333333333,0.0012666666666666666,,,,,,-0.9630666666666667,,,,
normal,normal->model,normal,normal,,,,train_015,train_015_pure_resnet_multihead_consistency_seed3027_ratio70_nostn,pure_resnet_multihead,consistency,C:\Users\buckl\.spyder-py3\智慧學習\captchas\experiments\train_015_pure_resnet_multihead_consistency_seed3027_ratio70_nostn\checkpoints\latest.pth,test,15000,0.25231923272939777,0.9529333333333333,0.9902933333333334,0.04833333333333333,0.9917333333333334,0.9875333333333334,0.9905333333333334,0.9899333333333333,0.9917333333333334,0.0021333333333333334,,,,,,-0.9508,,,,
clean,clean->model,clean,clean,,,,train_008,train_008_stn_multihead_supervised_seed3027_ratio70_stn,stn_multihead,supervised,C:\Users\buckl\.spyder-py3\智慧學習\captchas\experiments\train_008_stn_multihead_supervised_seed3027_ratio70_stn\checkpoints\latest.pth,test,15000,43.35432278907905,6.666666666666667e-05,0.14213333333333333,4.2874,0.144,0.14346666666666666,0.13046666666666668,0.1416,0.15113333333333334,6.666666666666667e-05,,,,,,0.0,,,,
clean,clean->model,clean,clean,,,,train_009,train_009_stn_multihead_contrastive_seed3027_ratio70_stn,stn_multihead,contrastive,C:\Users\buckl\.spyder-py3\智慧學習\captchas\experiments\train_009_stn_multihead_contrastive_seed3027_ratio70_stn\checkpoints\latest.pth,test,15000,49.41944814132432,0.0002,0.1308,4.343866666666667,0.16413333333333333,0.11693333333333333,0.12546666666666667,0.1082,0.13926666666666668,0.0002,,,,,,0.0,,,,
clean,clean->model,clean,clean,,,,train_010,train_010_stn_multihead_semisupervised_seed3027_ratio70_stn,stn_multihead,semisupervised,C:\Users\buckl\.spyder-py3\智慧學習\captchas\experiments\train_010_stn_multihead_semisupervised_seed3027_ratio70_stn\checkpoints\latest.pth,test,15000,47.09604075803595,6.666666666666667e-05,0.1774,4.11,0.1906,0.1614,0.168,0.17333333333333334,0.19366666666666665,6.666666666666667e-05,,,,,,0.0,,,,
clean,clean->model,clean,clean,,,,train_011,train_011_stn_multihead_consistency_seed3027_ratio70_stn,stn_multihead,consistency,C:\Users\buckl\.spyder-py3\智慧學習\captchas\experiments\train_011_stn_multihead_consistency_seed3027_ratio70_stn\checkpoints\latest.pth,test,15000,19.998488102929066,0.002,0.27974666666666664,3.5966,0.26953333333333335,0.2750666666666667,0.27973333333333333,0.27126666666666666,0.3031333333333333,0.002,,,,,,0.0,,,,
