epoch,learning_rate,train_loss,val_loss,test_loss,val_seq_acc,val_char_acc,val_edit_distance,test_seq_acc,test_char_acc,test_edit_distance,position_1_acc,position_2_acc,position_3_acc,position_4_acc,position_5_acc,saved_at
1,0.001,3.7229952871322634,3.231020060475667,3.2211650610605878,0.0,0.042453333333333336,4.3666,0.0,0.04064,4.3886666666666665,0.06933333333333333,0.043,0.044866666666666666,0.01806666666666667,0.037,2026-05-16T22:35:54.043229
2,0.001,1.57757685812882,0.6040672233661016,0.5845092448790868,0.5687333333333333,0.8376,0.5233333333333333,0.5654666666666667,0.83452,0.5291333333333333,0.9291333333333334,0.8387333333333333,0.8085333333333333,0.7922,0.8194,2026-05-16T22:42:39.315116
3,0.001,0.4839807809514659,0.3843448598066966,0.3594801046311855,0.741,0.9077866666666666,0.29746666666666666,0.7428,0.9083066666666667,0.29346666666666665,0.9494,0.9252666666666667,0.9062,0.8832666666666666,0.8748,2026-05-16T22:49:18.280060
4,0.001,0.23103841600716113,0.1512504219343265,0.14804809982230266,0.7942666666666667,0.9333733333333334,0.22533333333333333,0.7934,0.9338533333333333,0.22553333333333334,0.9677333333333333,0.9572666666666667,0.9271333333333334,0.9117333333333333,0.903,2026-05-16T22:55:59.034275
5,0.001,0.12231751253530383,0.10410548387120168,0.09881115339448054,0.8716666666666667,0.9612266666666667,0.13606666666666667,0.8768,0.96296,0.12973333333333334,0.9851333333333333,0.975,0.9585333333333333,0.9497333333333333,0.9377333333333333,2026-05-16T23:02:44.007596
6,0.001,0.08990337756401194,0.06805028487058977,0.06222543679314355,0.9250666666666667,0.9794933333333333,0.07793333333333333,0.9262666666666667,0.9799466666666666,0.0768,0.9898666666666667,0.9858666666666667,0.9773333333333334,0.9748666666666667,0.9695333333333334,2026-05-16T23:09:25.614720
7,0.001,0.07356480869209128,0.06461366686696808,0.058948250309377906,0.9253333333333333,0.9808533333333334,0.0776,0.928,0.9812533333333333,0.07473333333333333,0.9906,0.9847333333333333,0.9795333333333334,0.9752,0.9742,2026-05-16T23:16:01.423862
8,0.001,0.06520826156120747,0.06041322833324472,0.05536753791657587,0.9309333333333333,0.98212,0.07173333333333333,0.9318666666666666,0.9823333333333333,0.071,0.9898666666666667,0.9856,0.9808,0.9778,0.9765333333333334,2026-05-16T23:22:50.929425
9,0.001,0.05831001032980691,0.056089903744682666,0.04902808273738871,0.9400666666666667,0.9836133333333333,0.061533333333333336,0.9405333333333333,0.98412,0.061066666666666665,0.9918,0.9871333333333333,0.9813333333333333,0.9796666666666667,0.9781333333333333,2026-05-16T23:29:40.132663
10,0.001,0.05300232630489128,0.05167099703904241,0.048164557170309125,0.9458666666666666,0.98548,0.0564,0.9445333333333333,0.9844933333333333,0.057,0.9914,0.9881333333333333,0.9851333333333333,0.9816,0.9811333333333333,2026-05-16T23:36:27.103828
11,0.001,0.048590936669441205,0.053961782816269746,0.04572094568486015,0.9456,0.98604,0.056266666666666666,0.9455333333333333,0.98592,0.056466666666666665,0.9928,0.9886,0.9849333333333333,0.9834,0.9804666666666667,2026-05-16T23:43:14.430736
12,0.001,0.04528395671202535,0.051243353925086554,0.04551460351118197,0.9447333333333333,0.9857733333333333,0.05753333333333333,0.9438666666666666,0.9858666666666667,0.0576,0.9942,0.9900666666666667,0.9828,0.9832,0.9786,2026-05-16T23:49:47.168095
13,0.001,0.042810344961950825,0.043436243399480975,0.039985845374005534,0.9583333333333334,0.9891466666666666,0.042466666666666666,0.9566,0.9888533333333334,0.04473333333333333,0.9936,0.9908666666666667,0.9894666666666667,0.9866,0.9852,2026-05-16T23:56:25.866043
14,0.001,0.04023374393211145,0.04289759300351143,0.03900175529535239,0.9533333333333334,0.9879466666666666,0.04753333333333333,0.9557333333333333,0.9883066666666667,0.04533333333333334,0.9922666666666666,0.9906666666666667,0.9867333333333334,0.9856,0.9844666666666667,2026-05-17T00:03:05.253017
15,0.001,0.03914940936343212,0.04170573530647283,0.0381299118722789,0.9566666666666667,0.9884666666666667,0.04473333333333333,0.9558666666666666,0.9886,0.045,0.9917333333333334,0.9899333333333333,0.9881333333333333,0.9870666666666666,0.9854666666666667,2026-05-17T00:09:40.972896
16,0.001,0.035796115438919515,0.04859879242132108,0.04049253353159875,0.9496,0.98744,0.05213333333333333,0.9529333333333333,0.9882533333333333,0.0486,0.9935333333333334,0.9909333333333333,0.9856,0.9843333333333333,0.9828,2026-05-17T00:16:20.813870
17,0.001,0.03463937773927381,0.04608930286190783,0.04031418502122785,0.951,0.9868666666666667,0.050866666666666664,0.9529333333333333,0.9878133333333333,0.04853333333333333,0.9927333333333334,0.9884,0.9851333333333333,0.9841333333333333,0.9839333333333333,2026-05-17T00:22:48.206193
18,0.001,0.0332799974384884,0.049471643785045795,0.042568289260411014,0.9505333333333333,0.9859466666666666,0.052066666666666664,0.9508666666666666,0.9862933333333334,0.05073333333333333,0.9932,0.9873333333333333,0.9851333333333333,0.9817333333333333,0.9823333333333333,2026-05-17T00:29:16.103517
19,0.001,0.03194593028219616,0.04153929836355771,0.03732177694933489,0.958,0.9885333333333334,0.0432,0.9556,0.9875466666666667,0.04546666666666667,0.993,0.9900666666666667,0.9886,0.9852666666666666,0.9857333333333334,2026-05-17T00:35:44.371091
20,0.001,0.02977939806355363,0.044475863746351874,0.03838464732086286,0.9566,0.9887466666666667,0.044866666666666666,0.9584,0.9891733333333333,0.042333333333333334,0.994,0.9902666666666666,0.9877333333333334,0.986,0.9857333333333334,2026-05-17T00:42:12.622426
21,0.001,0.02917795249007343,0.05069798080025551,0.045775632655310136,0.9508666666666666,0.9865066666666666,0.0514,0.9516666666666667,0.98596,0.051533333333333334,0.9904,0.9874666666666667,0.9847333333333333,0.9850666666666666,0.9848666666666667,2026-05-17T00:48:42.385058
22,0.001,0.02794183740367215,0.04651805582805537,0.04173339457533633,0.9546666666666667,0.9884266666666667,0.046933333333333334,0.9536,0.9882,0.04753333333333333,0.9918,0.9894,0.9874666666666667,0.9870666666666666,0.9864,2026-05-17T00:55:10.405822
23,0.001,0.026948843998165935,0.047587262620854505,0.04468155931894047,0.9502,0.9869866666666667,0.05126666666666667,0.9456666666666667,0.9861866666666667,0.055733333333333336,0.9909333333333333,0.9898,0.9868,0.9843333333333333,0.9830666666666666,2026-05-17T01:01:39.075708
24,0.001,0.025471587413755645,0.04403801682998116,0.03879625417136898,0.9562666666666667,0.9888,0.045,0.9572,0.9892533333333333,0.0436,0.9930666666666667,0.9898,0.9879333333333333,0.9864,0.9868,2026-05-17T01:08:07.391495
