epoch,learning_rate,train_loss,val_loss,test_loss,val_seq_acc,val_char_acc,val_edit_distance,test_seq_acc,test_char_acc,test_edit_distance,position_1_acc,position_2_acc,position_3_acc,position_4_acc,position_5_acc,saved_at
1,0.001,0.4308387603605166,0.09066294879366954,0.08898428871314973,0.8432666666666667,0.9532,0.17006666666666667,0.8445333333333334,0.954,0.16806666666666667,0.9721333333333333,0.9584,0.9527333333333333,0.9423333333333334,0.9404,2026-05-25T12:19:41.968555
2,0.001,0.10579886295520036,0.06365388331877378,0.06068088943095257,0.8914,0.96804,0.115,0.8927333333333334,0.96844,0.1124,0.9826666666666667,0.9712,0.9636666666666667,0.9616,0.9610666666666666,2026-05-25T12:25:04.975250
3,0.001,0.08128993186743796,0.04031543701820386,0.038601168436324225,0.9361333333333334,0.9816133333333333,0.0668,0.9360666666666667,0.9816666666666667,0.066,0.9902,0.9847333333333333,0.9790666666666666,0.9766666666666667,0.9774,2026-05-25T12:30:39.028132
4,0.001,0.06892300394626467,0.03525365208017174,0.033766885491212206,0.9420666666666667,0.9838533333333334,0.060066666666666664,0.9418666666666666,0.9837466666666667,0.0606,0.9894,0.9861333333333333,0.983,0.9806,0.9801333333333333,2026-05-25T12:35:34.627638
5,0.001,0.0600261768788698,0.03992405299202462,0.03809081947107334,0.9373333333333334,0.9821866666666667,0.06526666666666667,0.94,0.9832666666666666,0.06233333333333333,0.9904666666666667,0.9864666666666667,0.9816,0.9764,0.976,2026-05-25T12:40:28.945337
6,0.001,0.05528653446415306,0.02939869022378698,0.027782389285826745,0.9508,0.9856666666666667,0.050666666666666665,0.9524666666666667,0.98692,0.04906666666666667,0.9917333333333334,0.9878,0.9845333333333334,0.9825333333333334,0.9817333333333333,2026-05-25T12:45:22.373828
7,0.001,0.051328154030581934,0.03335941602435584,0.0327485159697632,0.9446,0.98372,0.05726666666666667,0.9428666666666666,0.9838533333333334,0.0588,0.9904666666666667,0.9857333333333334,0.9829333333333333,0.9799333333333333,0.9795333333333334,2026-05-25T12:50:15.577865
8,0.001,0.04840526505389384,0.045793790107158325,0.04169385950636739,0.9349333333333333,0.9832666666666666,0.0676,0.9374666666666667,0.9837333333333333,0.0652,0.99,0.9834,0.983,0.9808666666666667,0.9790666666666666,2026-05-25T12:55:08.291647
9,0.001,0.04605406629949409,0.023785707336299432,0.022642061316771045,0.9595333333333333,0.98968,0.041466666666666666,0.9613333333333334,0.9902,0.039733333333333336,0.9933333333333333,0.9905333333333334,0.9898,0.9878666666666667,0.9868666666666667,2026-05-25T12:59:59.674284
10,0.001,0.042929880659683006,0.0262694438189889,0.02526568965802823,0.9602666666666667,0.9888266666666666,0.041,0.9593333333333334,0.9888666666666667,0.041933333333333336,0.9948,0.9906666666666667,0.9882666666666666,0.9854666666666667,0.9849333333333333,2026-05-25T13:04:51.360371
11,0.001,0.04174006425654682,0.02628299335486857,0.024788711127976423,0.9556,0.9887333333333334,0.04513333333333333,0.9578,0.9893333333333333,0.043533333333333334,0.9922,0.9903333333333333,0.9884,0.9858666666666667,0.9868666666666667,2026-05-25T13:09:45.064151
12,0.001,0.04038659107945028,0.030214941858752474,0.02844496381684439,0.9476,0.98696,0.0538,0.9487333333333333,0.9878666666666667,0.0526,0.9898666666666667,0.9868666666666667,0.9866,0.9849333333333333,0.9865333333333334,2026-05-25T13:14:37.170885
