epoch,train_loss,pretrain_loss,finetune_loss,pseudo_label_count,pseudo_label_accept_rate,mean_pseudo_confidence,consistency_loss,encoder_stage,stn_status,stn_regularization_loss,val_loss,val_seq_acc,val_char_acc,val_edit_distance,val_clean_accuracy,val_robustness_drop,val_restoration_gain,val_position_1_acc,val_position_2_acc,val_position_3_acc,val_position_4_acc,val_position_5_acc,test_loss,test_seq_acc,test_char_acc,test_edit_distance,test_clean_accuracy,test_robustness_drop,test_restoration_gain,test_position_1_acc,test_position_2_acc,test_position_3_acc,test_position_4_acc,test_position_5_acc
1,8.49208356783651,,7.852862088393916,2321,0.11052380952380952,0.9963356378724584,0.6392214794425934,consistency,disabled,0.0,115.2456200782289,0.0,0.027226666666666666,4.862466666666666,0.0,,,0.026733333333333335,0.027666666666666666,0.028933333333333332,0.024666666666666667,0.028133333333333333,115.22795799742353,0.0,0.02708,4.862733333333333,0.0,,,0.026866666666666667,0.0266,0.0282,0.0258,0.027933333333333334
2,3.0264271147280315,,2.840967924764511,13750,0.6547619047619048,0.9963792283578352,0.18545918996352045,consistency,disabled,0.0,96.47825242712143,0.0,0.02848,4.852266666666667,0.0,,,0.0302,0.0262,0.028466666666666668,0.029266666666666667,0.028266666666666666,96.48649775728266,0.0,0.0284,4.854266666666667,0.0,,,0.0276,0.028933333333333332,0.027933333333333334,0.028533333333333334,0.029
3,1.6274040282266393,,1.4906831344409648,13635,0.6492857142857142,0.9802459024185219,0.1367208937856745,consistency,disabled,0.0,0.8967486238225978,0.7829333333333334,0.94852,0.2548,0.7829333333333334,,,0.9517333333333333,0.9416666666666667,0.9443333333333334,0.9464666666666667,0.9584,0.8959583352220819,0.7837333333333333,0.9489466666666667,0.25366666666666665,0.7837333333333333,,,0.9514,0.9415333333333333,0.9489333333333333,0.9458,0.9570666666666666
4,0.6009472413919297,,0.4884287813975045,16256,0.7740952380952381,0.9859345473539759,0.11251845999442517,consistency,disabled,0.0,1.173373969057773,0.7527333333333334,0.9424533333333334,0.2876666666666667,0.7527333333333334,,,0.9516666666666667,0.9374666666666667,0.9428,0.9371333333333334,0.9432,1.2085757542163769,0.7459333333333333,0.94052,0.29713333333333336,0.7459333333333333,,,0.9511333333333334,0.9336,0.9381333333333334,0.937,0.9427333333333333
5,0.5208203372925713,,0.40738867534514195,17575,0.8369047619047619,0.9885388225376351,0.11343166194742936,consistency,disabled,0.0,1.2067688893764577,0.7990666666666667,0.9558933333333334,0.22046666666666667,0.7990666666666667,,,0.9702,0.9634,0.9658666666666667,0.9361333333333334,0.9438666666666666,1.253481587450555,0.7902,0.9541066666666667,0.22946666666666668,0.7902,,,0.9702666666666667,0.9612666666666667,0.9624666666666667,0.9367333333333333,0.9398
6,0.4760675250606335,,0.37869711171631404,17464,0.8316190476190476,0.9899272245930467,0.09737041334431946,consistency,disabled,0.0,0.6067280665991154,0.8556,0.9692933333333333,0.15346666666666667,0.8556,,,0.9719333333333333,0.9618666666666666,0.9678666666666667,0.9648,0.98,0.6544478089885509,0.8509333333333333,0.96804,0.1598,0.8509333333333333,,,0.9709333333333333,0.9598,0.9619333333333333,0.9654,0.9821333333333333
7,0.405063307056166,,0.3118250769691897,18425,0.8773809523809524,0.9919773920905477,0.09323823008697626,consistency,disabled,0.0,0.8836497620065161,0.8459333333333333,0.9673466666666667,0.16326666666666667,0.8459333333333333,,,0.9704,0.9646,0.9675333333333334,0.9628,0.9714,0.9065528963474517,0.8429333333333333,0.9662533333333333,0.16873333333333335,0.8429333333333333,,,0.9719333333333333,0.9626,0.9628666666666666,0.9648666666666667,0.969
8,0.3805147128575046,,0.29036676234932857,18876,0.8988571428571429,0.9926955413707208,0.090147950508176,consistency,disabled,0.0,0.9383690930427389,0.85,0.9679066666666667,0.16046666666666667,0.85,,,0.9701333333333333,0.9637333333333333,0.9676,0.9665333333333334,0.9715333333333334,0.9715663714611784,0.8450666666666666,0.9666133333333333,0.16686666666666666,0.8450666666666666,,,0.9722666666666666,0.9624,0.9611333333333333,0.9675333333333334,0.9697333333333333
9,0.32432554894125154,,0.24294012960523134,19381,0.9229047619047619,0.9939208144614106,0.08138541933602023,consistency,disabled,0.0,0.9982781368367215,0.8466666666666667,0.9672133333333334,0.16386666666666666,0.8466666666666667,,,0.9702,0.9654,0.9668666666666667,0.9636,0.97,1.0267149017212238,0.8417333333333333,0.96592,0.1704,0.8417333333333333,,,0.9708666666666667,0.9620666666666666,0.9637333333333333,0.9645333333333334,0.9684
10,0.3146564803264515,,0.23957580651883667,18742,0.8924761904761904,0.9940231266964107,0.07508067380761484,consistency,disabled,0.0,0.6085298322458217,0.8565333333333334,0.96956,0.1522,0.8565333333333334,,,0.9713333333333334,0.9664666666666667,0.9692666666666667,0.9685333333333334,0.9722,0.6273362337908847,0.8516666666666667,0.9682533333333333,0.15866666666666668,0.8516666666666667,,,0.9725333333333334,0.9648,0.965,0.9688,0.9701333333333333
11,0.29414344376526075,,0.21756818306245707,19542,0.9305714285714286,0.9946131730150413,0.07657526070280368,consistency,disabled,0.0,1.2749186447326173,0.8298666666666666,0.9634266666666667,0.18286666666666668,0.8298666666666666,,,0.9425333333333333,0.9654,0.9699333333333333,0.9672,0.9720666666666666,1.329023455558939,0.8252,0.9620266666666667,0.1898,0.8252,,,0.9428666666666666,0.9638666666666666,0.965,0.968,0.9704
12,0.255342035928942,,0.18359559556522817,19632,0.9348571428571428,0.995292405676045,0.07174644036371386,consistency,disabled,0.0,1.0741246068731267,0.8556,0.9693466666666667,0.15326666666666666,0.8556,,,0.9708666666666667,0.9663333333333334,0.9708,0.9671333333333333,0.9716,1.1123059033713443,0.8520666666666666,0.96828,0.15853333333333333,0.8520666666666666,,,0.9731333333333333,0.9644,0.966,0.9680666666666666,0.9698
13,0.2597420852974659,,0.18982872815788104,19740,0.94,0.9955011843185657,0.06991335713958487,consistency,disabled,0.0,0.9762878203645665,0.8559333333333333,0.9692666666666667,0.15366666666666667,0.8559333333333333,,,0.9707333333333333,0.9662666666666667,0.9706666666666667,0.9672666666666667,0.9714,1.0172333371131979,0.8508666666666667,0.9679066666666667,0.16033333333333333,0.8508666666666667,,,0.9728666666666667,0.9644666666666667,0.9648,0.9676666666666667,0.9697333333333333
14,0.235716152088372,,0.1666789232600023,19627,0.9346190476190476,0.995839636391554,0.06903722882836967,consistency,disabled,0.0,1.0162870636011692,0.8601333333333333,0.97036,0.1482,0.8601333333333333,,,0.9714,0.9684666666666667,0.9708,0.9684666666666667,0.9726666666666667,1.053651693970599,0.8552666666666666,0.9689733333333334,0.15506666666666666,0.8552666666666666,,,0.9734,0.9654,0.9665333333333334,0.9687333333333333,0.9708
15,0.22765700708894926,,0.15957578731209585,19592,0.932952380952381,0.9955421073332569,0.06808121977685343,consistency,disabled,0.0,1.0752563677569653,0.8593333333333333,0.9702133333333334,0.14893333333333333,0.8593333333333333,,,0.9713333333333334,0.9672666666666667,0.9710666666666666,0.969,0.9724,1.1176856125922914,0.8541333333333333,0.9687066666666667,0.15633333333333332,0.8541333333333333,,,0.9727333333333333,0.9651333333333333,0.9665333333333334,0.9688666666666667,0.9702666666666667
16,0.21298509449872866,,0.14204999420295808,19714,0.9387619047619048,0.9958642827239399,0.07093510029577059,consistency,disabled,0.0,0.9692456887123433,0.8567333333333333,0.9695066666666666,0.15246666666666667,0.8567333333333333,,,0.9712666666666666,0.9662666666666667,0.9698666666666667,0.9678,0.9723333333333334,0.9976155083230202,0.8525333333333334,0.9682533333333333,0.15873333333333334,0.8525333333333334,,,0.9724,0.9656,0.9656666666666667,0.9672666666666667,0.9703333333333334
17,0.19278842842751848,,0.13604255362022327,19929,0.949,0.9964410163687597,0.05674587480729519,consistency,disabled,0.0,1.0398852667275895,0.8611333333333333,0.97068,0.1466,0.8611333333333333,,,0.9719333333333333,0.9681333333333333,0.9714666666666667,0.9693333333333334,0.9725333333333334,1.0603384813729753,0.8576,0.96944,0.15273333333333333,0.8576,,,0.9726666666666667,0.9664666666666667,0.9672666666666667,0.9697333333333333,0.9710666666666666
18,0.1885317218555851,,0.12269411273252015,19928,0.948952380952381,0.9961118014736474,0.06583760912306494,consistency,disabled,0.0,1.200303190566124,0.8584,0.9698933333333334,0.15053333333333332,0.8584,,,0.9708666666666667,0.967,0.9704666666666667,0.9691333333333333,0.972,1.2439398849264105,0.8551333333333333,0.96892,0.1554,0.8551333333333333,,,0.9726,0.9644,0.9672666666666667,0.9693333333333334,0.971
