epoch,learning_rate,train_loss,train_ctc_loss,train_consistency_loss,val_loss,test_loss,val_seq_acc,val_char_acc,val_edit_distance,test_seq_acc,test_char_acc,test_edit_distance,position_1_acc,position_2_acc,position_3_acc,position_4_acc,position_5_acc,consistency_weight,saved_at
1,0.001,3.7154773030962263,3.7154772694996425,3.9460956277180034e-07,3.654478556950887,3.646900716527303,0.0,0.027173333333333334,4.757066666666667,0.0,0.026493333333333334,4.7556666666666665,0.0504,0.028733333333333333,0.027266666666666668,0.029466666666666665,0.0,0.1,2026-05-21T04:33:51.244025
2,0.001,1.409903562893612,1.4098989594578744,4.605522369447332e-05,0.23094224983056386,0.2334010378599167,0.7386666666666667,0.9188133333333334,0.2966666666666667,0.7387333333333334,0.9185866666666667,0.29673333333333335,0.9659333333333333,0.9235333333333333,0.9092666666666667,0.8984666666666666,0.8968666666666667,0.1,2026-05-21T04:45:57.987128
3,0.001,0.21256118086406162,0.21255567835026554,5.502546377309565e-05,0.10847497597634792,0.10385850707242886,0.8322666666666667,0.94604,0.1816,0.839,0.9500666666666666,0.17446666666666666,0.973,0.9494,0.9354,0.9339333333333333,0.9384666666666667,0.1,2026-05-21T04:57:40.558372
4,0.001,0.12430003244185021,0.1242942058838904,5.8266119445761436e-05,0.06368839506916701,0.06314766096919774,0.8964666666666666,0.9720666666666666,0.1084,0.8974,0.9719066666666667,0.10746666666666667,0.9866666666666667,0.9728,0.9682666666666667,0.9656666666666667,0.9669333333333333,0.1,2026-05-21T05:09:17.277594
5,0.001,0.09093413492185728,0.09092844341998654,5.6915091584440755e-05,0.04736139900585016,0.04602851824853569,0.9282666666666667,0.9827066666666666,0.07446666666666667,0.9288,0.9824133333333334,0.0742,0.9899333333333333,0.9828666666666667,0.9811333333333333,0.979,0.9806,0.1,2026-05-21T05:20:54.896951
6,0.001,0.0743769041958265,0.07437148402945272,5.4201745405589465e-05,0.03936888450027133,0.03826589246053869,0.9332,0.9844266666666667,0.0694,0.9332666666666667,0.9844133333333334,0.06906666666666667,0.9920666666666667,0.9842666666666666,0.9840666666666666,0.9785333333333334,0.9832,0.1,2026-05-21T05:32:30.319234
7,0.001,0.062228050982340105,0.062222798293030686,5.252675329362059e-05,0.03387829126721869,0.03212292577273523,0.9438666666666666,0.98796,0.0576,0.9432,0.9877466666666667,0.05826666666666667,0.9918,0.9904,0.9884666666666667,0.9851333333333333,0.984,0.1,2026-05-21T05:44:05.504608
8,0.001,0.05569674525236977,0.05569142899846525,5.3162266980611355e-05,0.026832512295463434,0.025468355712108315,0.9526,0.9899066666666667,0.04853333333333333,0.9545333333333333,0.9903066666666667,0.04646666666666667,0.9916666666666667,0.9895333333333334,0.9893333333333333,0.9893333333333333,0.9896666666666667,0.1,2026-05-21T05:55:42.564885
9,0.001,0.05005661614446435,0.05005132682979373,5.2892998976520694e-05,0.023098966069643696,0.02205823145263518,0.9590666666666666,0.9914266666666667,0.041666666666666664,0.9591333333333333,0.9912933333333334,0.041466666666666666,0.994,0.9905333333333334,0.9908,0.9897333333333334,0.9920666666666667,0.1,2026-05-21T06:07:19.040069
10,0.001,0.047771777727441594,0.04776657468286742,5.2030745479299054e-05,0.01951482337974788,0.020702001662474746,0.9655333333333334,0.9924666666666667,0.034866666666666664,0.9624,0.9918,0.03846666666666667,0.9948666666666667,0.9920666666666667,0.9920666666666667,0.9912,0.9921333333333333,0.1,2026-05-21T06:18:55.901898
11,0.001,0.04507131138876014,0.045065742827313286,5.568554514965009e-05,0.02486980778789924,0.024907440611029355,0.9562666666666667,0.9905866666666666,0.0444,0.9586,0.99108,0.04226666666666667,0.9934,0.991,0.9879333333333333,0.9886666666666667,0.9919333333333333,0.1,2026-05-21T06:30:31.443071
12,0.001,0.04159403543476282,0.04158841729033738,5.618134400803163e-05,0.025099970602073397,0.025662333925953136,0.9520666666666666,0.9897866666666667,0.04926666666666667,0.9504,0.98956,0.0508,0.9892,0.9888666666666667,0.9912666666666666,0.9884,0.9912,0.1,2026-05-21T06:42:08.704559
13,0.001,0.04006604017878417,0.0400602553117222,5.784838477359569e-05,0.02212254468643417,0.021756381695065646,0.9639333333333333,0.9922133333333333,0.0368,0.9654,0.99268,0.035333333333333335,0.9946,0.9924,0.9915333333333334,0.9914,0.9911333333333333,0.1,2026-05-21T06:53:46.619962
14,0.001,0.0387425763423039,0.03873674098848465,5.8353376288765245e-05,0.019563368996667364,0.01872076791099583,0.9649333333333333,0.99256,0.03553333333333333,0.9671333333333333,0.9931333333333333,0.0334,0.9943333333333333,0.9921333333333333,0.992,0.9912666666666666,0.9930666666666667,0.1,2026-05-21T07:05:22.202488
15,0.001,0.03699576037210812,0.03699004573004786,5.714647249873711e-05,0.02097417688955708,0.020685078495616713,0.9632,0.9923333333333333,0.03713333333333333,0.9626666666666667,0.99232,0.0378,0.9941333333333333,0.9931333333333333,0.9916,0.9901333333333333,0.9926666666666667,0.1,2026-05-21T07:16:58.353323
16,0.001,0.03635202544851594,0.036346104863769976,5.920599481843445e-05,0.02213989483761446,0.020211355098662898,0.9618,0.9912,0.03886666666666667,0.965,0.9922,0.03593333333333333,0.9943333333333333,0.9916666666666667,0.9892666666666666,0.9904666666666667,0.9902666666666666,0.1,2026-05-21T07:28:35.628509
17,0.001,0.03512498381243037,0.03511886288978858,6.120915537384072e-05,0.01932117048727426,0.018019397137496465,0.9674,0.9929866666666667,0.033,0.9684,0.99344,0.031933333333333334,0.9948,0.9928666666666667,0.9930666666666667,0.9912666666666666,0.9929333333333333,0.1,2026-05-21T07:40:10.967739
18,0.001,0.032816426766494156,0.03281063269788616,5.7941061749235296e-05,0.020109038867785905,0.0181142292459573,0.9637333333333333,0.99228,0.03693333333333333,0.9674666666666667,0.9930533333333333,0.0332,0.9936666666666667,0.9923333333333333,0.9918,0.9906666666666667,0.9929333333333333,0.1,2026-05-21T07:51:47.995303
