epoch,lr,model_id,pair,saved_at,test_char_acc,test_edit_distance,test_loss,test_mse,test_psnr,test_seq_acc,test_ssim,train_loss,train_mse,train_psnr,train_ssim,training_mode,val_char_acc,val_edit_distance,val_loss,val_mse,val_psnr,val_seq_acc,val_ssim
1,0.001,M1,corrupted_to_normal,2026-05-19 14:54:56,,,0.03570018252134323,0.01159025347729524,19.587586552937825,,0.7589007150014242,0.03141132487314088,0.010078006175160407,20.273837061418806,0.7904075238500322,supervised,,,0.035717784454425174,0.011599216710031033,19.58511801147461,,0.758814327176412
2,0.001,M1,corrupted_to_normal,2026-05-19 15:08:39,,,0.026606909386316935,0.008576431344946225,20.99643440348307,,0.8196952237764994,0.02623095168811934,0.008365067085730179,21.06152750767299,0.8251156877381461,supervised,,,0.026582954503099124,0.008565490851799647,21.001935360717773,,0.819825366751353
3,0.001,M1,corrupted_to_normal,2026-05-19 15:22:37,,,0.026981948758165043,0.008617427496115366,20.9316416015625,,0.8163547908782959,0.02480913912824222,0.007924336559644767,21.292365573556083,0.8348122045516968,supervised,,,0.02697627777059873,0.008616417727867762,20.932792802937826,,0.8164014035860697
4,0.001,M1,corrupted_to_normal,2026-05-19 15:36:41,,,0.031499745190143584,0.009705246572196484,20.386238494873048,,0.7820550175984701,0.02368403606755393,0.0075220071715968,21.53043878086635,0.8419159217561994,supervised,,,0.031482286711533865,0.009699157132208347,20.386976970418296,,0.7821687085787455
5,0.001,M1,corrupted_to_normal,2026-05-19 15:50:51,,,0.023038914946715037,0.0072701386963327725,21.73451001586914,,0.8423122403462728,0.022506301012209483,0.007083886683838708,21.807133840506417,0.8490949193954468,supervised,,,0.023045301725467045,0.007270999442785978,21.734939633178712,,0.8422569797515869
6,0.001,M1,corrupted_to_normal,2026-05-19 16:05:09,,,0.025737469039360684,0.007635548008481661,21.460298518880208,,0.8189807930310568,0.02204160036742687,0.006912489813246897,21.918698558262417,0.8519014407566615,supervised,,,0.02575942714015643,0.0076484542421996595,21.456926930745443,,0.8188902743339539
7,0.001,M1,corrupted_to_normal,2026-05-19 16:19:31,,,0.022892288015286127,0.0073588882138331735,21.699648545328778,,0.8446660044670105,0.021694968534793174,0.006780923266176666,22.00645084184919,0.8539458810942514,supervised,,,0.022908959996700288,0.007363581411540508,21.698521079508463,,0.8445462171554565
8,0.001,M1,corrupted_to_normal,2026-05-19 16:33:56,,,0.024598723117510476,0.007476639877756436,21.52819359842936,,0.8287791713078817,0.021429974415472574,0.006669169469603471,22.083857653808593,0.8553645668710981,supervised,,,0.024625720691680907,0.0074915161689122515,21.523151677449544,,0.8286579583485921
9,0.001,M1,corrupted_to_normal,2026-05-19 16:47:12,,,0.02208634208738804,0.006751473763585091,22.0034937886556,,0.8466513193130493,0.021207487629141125,0.0065470793561211655,22.172263759940012,0.8563027337755476,supervised,,,0.022099724751710893,0.0067595645499726135,21.99927827351888,,0.8465984003067016
10,0.001,M1,corrupted_to_normal,2026-05-19 17:00:32,,,0.022471205618977547,0.006623946982870499,22.15910640258789,,0.8415274167696635,0.020949960371426175,0.006305060854128429,22.367722263445174,0.8564299706186567,supervised,,,0.02249084062476953,0.006635055303573608,22.15421170349121,,0.841442149734497
11,0.001,M1,corrupted_to_normal,2026-05-19 17:13:47,,,0.021998763686418534,0.006550146412352721,22.344194685872395,,0.845513830089569,0.02066427516596658,0.006107079010563237,22.529912350027903,0.8572771124158587,supervised,,,0.022013900100191434,0.006555134562899669,22.341600337727865,,0.8454123479525248
12,0.001,M1,corrupted_to_normal,2026-05-19 17:27:00,,,0.021208158601323763,0.006392195781071981,22.383165350341798,,0.8518403745651245,0.02047394869029522,0.006028857218367713,22.591328734043667,0.8583508185795375,supervised,,,0.02122168499827385,0.006399724460641543,22.381579786173504,,0.8517803965250651
13,0.001,M1,corrupted_to_normal,2026-05-19 17:40:12,,,0.021957915010054906,0.006484460674971342,22.41933262532552,,0.8452654593467712,0.020320748031139375,0.005977373322631632,22.629814333234513,0.8593153495788575,supervised,,,0.021980824434757233,0.006490707282721996,22.417580066935223,,0.8450988314628601
14,0.001,M1,corrupted_to_normal,2026-05-19 17:53:30,,,0.021102457477649054,0.006381864422808091,22.36756904296875,,0.8527940716425578,0.020201125853828023,0.005939756792464427,22.65809040876116,0.8600829619271415,supervised,,,0.021135918766260146,0.006395686259865761,22.359125298055012,,0.8525976775487264
15,0.001,M1,corrupted_to_normal,2026-05-19 18:06:52,,,0.02089688160518805,0.006166889872650305,22.486099569702148,,0.8527000848134358,0.020101396820800647,0.005909296749425786,22.679973771449497,0.8607356975010463,supervised,,,0.020904228141903878,0.006172043699274461,22.48310768330892,,0.8526781572977702
16,0.001,M1,corrupted_to_normal,2026-05-19 18:21:27,,,0.02124615684747696,0.006421944376329581,22.280060630289714,,0.851757877254486,0.019999741739034654,0.005879022179969719,22.702379717145647,0.8614079084260123,supervised,,,0.02126786468823751,0.006432212702681621,22.27458524576823,,0.851643482017517
17,0.001,M1,corrupted_to_normal,2026-05-19 18:36:08,,,0.022922634979089102,0.006989902043839296,21.880305240885416,,0.8406726739565531,0.019919298564110482,0.0058567624690277235,22.718538434273857,0.8619533662659782,supervised,,,0.022939847346146902,0.006996573697030544,21.873852382405598,,0.8405672670046489
18,0.001,M1,corrupted_to_normal,2026-05-19 18:51:08,,,0.02127156946559747,0.006357023989409208,22.301298670450848,,0.85085454676946,0.019830138341869627,0.0058295258932879995,22.737901668439594,0.8625267383030483,supervised,,,0.021291833839813867,0.006367188226679961,22.29330575459798,,0.8507535459518433
19,0.001,M1,corrupted_to_normal,2026-05-19 19:05:02,,,0.021234479864438376,0.006419337044159572,22.44125506286621,,0.851848574479421,0.019761554776344982,0.0058103481605649,22.75217085745675,0.8629855339595249,supervised,,,0.02123575983941555,0.00642052929426233,22.440305328369142,,0.8518476968447367
20,0.001,M1,corrupted_to_normal,2026-05-19 19:18:37,,,0.020807501536607743,0.006182124301046133,22.543590439860026,,0.8537462300936381,0.01970094960800239,0.005793417781378542,22.763768701171873,0.8633963430404663,supervised,,,0.020815744217236837,0.006187284431358179,22.54129400024414,,0.85371540406545
21,0.001,M1,corrupted_to_normal,2026-05-19 19:32:14,,,0.020102578248580298,0.005966003357619047,22.633213785807293,,0.85863425283432,0.01963029102895941,0.005774350360461644,22.778073241315568,0.8638740495681763,supervised,,,0.02011001120408376,0.005971642647435268,22.62881915283203,,0.8586163163820902
22,0.001,M1,corrupted_to_normal,2026-05-19 19:45:45,,,0.020422932093342144,0.006030819977819919,22.568332736206056,,0.8560788805961609,0.01958502051787717,0.005761295583205563,22.788188919939312,0.8641748600687299,supervised,,,0.020430953866243363,0.0060362787544727325,22.564153224690756,,0.8560532510757446
23,0.001,M1,corrupted_to_normal,2026-05-19 19:59:16,,,0.020216768314441046,0.006073737581074237,22.563268995157877,,0.8585696947097778,0.019551315723998205,0.005752360545311655,22.794296960885184,0.8644117235183716,supervised,,,0.02024236436287562,0.00608291241278251,22.55480279642741,,0.8584054827372233
24,0.001,M1,corrupted_to_normal,2026-05-19 20:12:54,,,0.020425534256299338,0.006111611520250638,22.54247931315104,,0.8568607744216918,0.01947983980178833,0.005731439100631646,22.809278119768415,0.8648725527354649,supervised,,,0.020423411989212038,0.006113601254671812,22.54091571146647,,0.8569018943786622
25,0.001,M1,corrupted_to_normal,2026-05-19 20:26:26,,,0.020545956218242647,0.006077361348768075,22.527282849121093,,0.8553140528678894,0.019431561384456498,0.0057180324852466585,22.81854722682408,0.8651881784984043,supervised,,,0.020575185989340147,0.006090302988390128,22.518465592447917,,0.855151171875
26,0.001,M1,corrupted_to_normal,2026-05-19 20:39:56,,,0.02110061499973138,0.006247229528427124,22.46031225280762,,0.8514661471048991,0.019386944051299777,0.005705228724649974,22.82750078430176,0.8654911198752268,supervised,,,0.021107592595616977,0.0062506138605376085,22.457857508341473,,0.8514302145004272
27,0.001,M1,corrupted_to_normal,2026-05-19 20:53:27,,,0.020246395446856816,0.006030805853505929,22.638593326822917,,0.8578441058158874,0.01934936225073678,0.005693975371973855,22.83522989065988,0.8657325039863586,supervised,,,0.020257125705480574,0.00603843722268939,22.63532313639323,,0.8578131169001262
28,0.001,M1,corrupted_to_normal,2026-05-19 21:06:58,,,0.019992232939600944,0.005933378575245539,22.64821044921875,,0.8594114582379659,0.01931694875061512,0.005685348057959761,22.841671398925783,0.8659635984693255,supervised,,,0.020001875041921933,0.005940620372692744,22.64338493448893,,0.8593874558766683
29,0.001,M1,corrupted_to_normal,2026-05-19 21:20:34,,,0.02161240941087405,0.0064648993581533434,22.29228741048177,,0.8485249020894369,0.019279188260861807,0.005674177305932556,22.84984272591727,0.8662015183448791,supervised,,,0.021608484214544296,0.0064656100422143935,22.292616814168294,,0.8485712601025899
30,0.001,M1,corrupted_to_normal,2026-05-19 21:34:06,,,0.02022036966184775,0.00600673210422198,22.604047774251303,,0.8578636263847351,0.019246335124117987,0.0056656049855053426,22.856384543282644,0.8664216216632298,supervised,,,0.020228803433974585,0.006014986607432366,22.599134908040366,,0.8578618337631225
